"Тип документа
 (Договор, 
 Протокол, 
 Устав)",Наименование,pattern ,pattern alt,Полное предложение,,
Устав,Сделки,"принятие решений о совершении сделок  на сумму, превышающую 100 000 000 (сто миллионов) рублей без учета НДС",,"принятие решений о совершении сделок (в том числе нескольких взаимосвязанных сделок) на сумму, превышающую 100 000 000 (сто миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте),","принятие решений о совершении сделок (в том числе нескольких взаимосвязанных сделок) на сумму, превышающую 50 000 000 (Пятьдесят миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте) но не превышающую 100 000 000 (Сто миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте),",
Устав,Сделки с имуществом,"принятие решений о совершении сделок с имуществом, стоимость которого на основании данных бухгалтерской отчетности превышает 100 000 000 (сто миллионов) рублей",,"сделок (в том числе нескольких взаимосвязанных сделок) с имуществом Общества, стоимость которого на основании данных бухгалтерской отчетности Общества за последний отчетный период, предшествующий дню принятия решения о совершении таких сделок, превышает 100 000 000 (сто миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте), за исключением сделок, совершаемых в процессе обычной хозяйственной деятельности Общества, а также, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним когда такая сделка или несколько взаимосвязанных сделок является(-ются) сделкой, в совершении которой имеется заинтересованность);","и сделок (в том числе нескольких взаимосвязанных сделок) с имуществом Общества, стоимость которого на основании данных бухгалтерской отчетности Общества за последний отчетный период, предшествующий дню принятия решения о совершении таких сделок, превышает 50 000 000 (Пятьдесят миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте), но не превышает 100 000 000 (Сто миллионов) рублей без учета НДС (или эквивалент указанной суммы в любой другой валюте), за исключением сделок, совершаемых в процессе обычной хозяйственной деятельности Общества, а также, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним",
Устав,Сделки с займами/кредитами,"принятие решений о совершении сделок, связанных с получением или предоставлением Обществом займов, кредитов (в том числе вексельных), предоставлением гарантий и поручительств по обязательствам Общества и(или) третьих лиц","принятие решения о согласии на совершение или о последующем одобрении сделок, связанных с получением или предоставлением Обществом займов, кредитов (включая вексельные обязательства), предоставлением гарантий и поручительств, иных обеспечений исполнения обязательств , получением банковских гарантий","принятие решений о совершении сделок, связанных с получением или предоставлением Обществом займов, кредитов (в том числе вексельных), предоставлением гарантий и поручительств по обязательствам Общества и(или) третьих лиц, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,"принятие решения о согласии на совершение или о последующем одобрении сделок, связанных с получением или предоставлением Обществом займов, кредитов (включая вексельные обязательства), предоставлением гарантий и поручительств, иных обеспечений исполнения обязательств (кроме предоставления обеспечения в виде недвижимого имущества), получением банковских гарантий, если сумма сделки или нескольких взаимосвязанных сделок, заключенных в течение 6 (шести) месяцев, превышает 25 000 000 (Двадцать пять миллионов) рублей или эквивалент данной суммы в иной валюте, за исключением случаев, когда такие сделки требуют получения согласия органов управления Общества как крупные сделки и сделки с заинтересованностью"
Устав,Продажа и отчуждение недвижимого имущества,"принятие решений о совершении сделок, связанных с продажей, иным отчуждением, в том числе путем сноса и/или частичной или полной реконструкции, осуществляемой по предложению/требованию государственных органов или иных третьих лиц, изъятия для государственных нужд, отказа от собственности или обременением недвижимого имущества  или о совершении сделки, связанной с возможностью отчуждения прямо или косвенно недвижимого имущества Общества",,"принятие решений о совершении сделок, связанных с продажей, иным отчуждением, в том числе путем сноса и/или частичной или полной реконструкции, осуществляемой по предложению/требованию государственных органов или иных третьих лиц, изъятия для государственных нужд, отказа от собственности (кроме случаев фактической утраты) или обременением недвижимого имущества (за исключением случаев обременения недвижимого имущества, указанных в п.п. 14 п. 10.3. настоящего Устава и сервитутов), или о совершении сделки, связанной с возможностью отчуждения прямо или косвенно недвижимого имущества Общества, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,"принятие решения о согласии на совершение или о последующем одобре-нии сделок, связанных с приобретением, отчуждением и возможностью отчуждения, обременением и возможностью обременения Обществом не-движимого имущества (кроме аренды), независимо от суммы сделки, за исключением случаев, когда такие сделки требуют получения согласия ор-ганов управления Общества как крупные сделки и сделки с заинтересо-ванностью"
Устав,Передача в аренду,"принятие решений о совершении сделок, связанных с передачей в аренду/субаренду недвижимого имущества",,"принятие решений о совершении сделок, связанных с передачей в аренду/субаренду недвижимого имущества Общества, за исключением помещений и непрофильного имущества признанного таковым в соответствии с решением Совета директоров Общества, а также за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,"принятие решения о согласии на совершение или о последующем одобре-нии сделок по сдаче в аренду или передаче в иное срочное и бессрочное пользование имущества Общества, независимо от суммы сделки, за ис-ключением случаев, когда такие сделки требуют получения согласия орга-нов управления Общества как крупные сделки и сделки с заинтересован-ностью"
Устав,Получение в аренду недвижимого имущества,"принятие решений о совершении сделок, связанных с получением в аренду/субаренду недвижимого имущества, за исключением земельных участков, на срок 1 год и более и на неопределенный срок",,"принятие решений о совершении сделок, связанных с получением в аренду/субаренду недвижимого имущества, за исключением земельных участков, на срок 1 год и более и на неопределенный срок, за исключением сделок, связанных с арендой/субарендой земельных участков/частей земельных участков, а также сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним",,
Устав,Отказ от аренды земельных участков,принятие решений об отказе от аренды/субаренды земельных участков,,"принятие решений об отказе от аренды/субаренды земельных участков, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,
Устав,Сделки с ценными бумагами,"принятие решений о совершении сделок, связанных с приобретением или отчуждением долей в уставных капиталах, акций, облигаций, закладных, векселей или иных ценных бумаг или любых прав в отношении такого имущества (путем конвертации, подписки, опционов или иным способом) любой компании или другой организации",,"принятие решений о совершении сделок, связанных с приобретением или отчуждением долей в уставных капиталах, акций, облигаций, закладных, векселей или иных ценных бумаг или любых прав в отношении такого имущества (путем конвертации, подписки, опционов или иным способом) любой компании или другой организации, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,"принятие решения о согласии на совершение или о последующем одобре-нии сделок, связанных с приобретением, отчуждением и возможностью отчуждения акций, (паев, долей в уставном капитале) других коммерче-ских организаций, включая их обременение, независимо от суммы сделки за исключением случаев, когда такие сделки требуют получения согласия органов управления Общества как крупные сделки и сделки с заинтересо-ванностью"
Устав,Сделки передачи в залог уставных капиталов и акций,"принятие решений о совершении сделок, связанных с передачей в залог или установлением иных обременений в отношении принадлежащих Обществу долей в уставных капиталах или акций,",,"принятие решений о совершении сделок, связанных с передачей в залог или установлением иных обременений в отношении принадлежащих Обществу долей в уставных капиталах или акций, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,
Устав,Благотворительность,"принятие решений о совершении сделок мены, дарения, иных сделок, предусматривающих безвозмездное отчуждение имущества Общества либо оплату (встречное предоставление) в неденежной форме",,"принятие решений о совершении сделок мены, дарения, иных сделок, предусматривающих безвозмездное отчуждение имущества Общества либо оплату (встречное предоставление) в неденежной форме, за исключением сделок с ПАО «Газпром нефть» и обществами, входящими в группу лиц с ним;",,"принятие решения о согласии на совершение или о последующем одобрении сделок мены, дарения, иных сделок, предусматривающих безвозмездное отчуждение имущества Общества либо оплату (встречное предоставление) в неденежной форме, одобрение договоров спонсорского и благотворительного характера, независимо от суммы сделки, за исключением случаев, когда такие сделки требуют получения согласия органов управления Общества как крупные сделки и сделки с заинтересованно-стью"
